company,open,High,Low,close,change,Trades,Volume,Date
CONOIL,22.35,--,--,--,,3,358,14 Sep 21
CONOIL,25.5,--,--,25.50,,8,"12,623",30 Sep 21
CONOIL,25.5,--,--,25.50,,27,"23,982",04 Oct 21
CONOIL,25.5,--,--,25.50,,15,"7,446",06 Oct 21
CONOIL,25.5,--,--,25.50,,12,"5,523",08 Oct 21
CONOIL,25.5,--,--,25.50,,16,"21,984",11 Oct 21
CONOIL,25.5,--,--,25.50,,29,"129,939",12 Oct 21
CONOIL,25.5,--,--,25.50,,15,"48,515",13 Oct 21
CONOIL,25.5,--,--,25.50,,7,"16,522",14 Oct 21
CONOIL,25.5,--,--,25.50,,28,"83,798",18 Oct 21
CONOIL,25.5,--,--,25.50,,33,"107,714",20 Oct 21
CONOIL,25.5,--,--,25.50,,20,"42,631",21 Oct 21
CONOIL,25.5,--,--,25.50,,14,"20,750",22 Oct 21
CONOIL,25.5,--,--,25.50,,18,"72,251",25 Oct 21
CONOIL,25.5,--,--,25.50,,17,"58,341",26 Oct 21
CONOIL,25.5,--,--,25.50,,19,"18,249",27 Oct 21
CONOIL,25.5,--,--,25.50,,15,"5,492",28 Oct 21
CONOIL,25.5,--,--,25.50,,28,"43,413",29 Oct 21
CONOIL,25.5,--,--,25.50,,19,"16,980",01 Nov 21
CONOIL,25.5,--,--,25.50,,36,"147,899",02 Nov 21
CONOIL,25.5,--,--,25.50,,17,"13,146",03 Nov 21
CONOIL,25.5,--,--,25.50,,11,"12,267",04 Nov 21
CONOIL,25.5,--,--,25.50,,10,"4,169",05 Nov 21
CONOIL,25.5,23.00,23.00,23.00,-2.5,67,"484,982",08 Nov 21
CONOIL,23,21.70,21.70,21.70,-1.3,28,"430,864",09 Nov 21
CONOIL,21.7,--,--,21.70,,23,"232,500",10 Nov 21
CONOIL,21.7,--,--,21.70,,17,"21,806",11 Nov 21
CONOIL,21.7,--,--,21.70,,38,"78,776",12 Nov 21
CONOIL,21.7,--,--,21.70,,25,"32,945",15 Nov 21
CONOIL,21.7,--,--,21.70,,33,"272,926",16 Nov 21
