company,open,High,Low,close,change,Trades,Volume,Date
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-09-30
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-04
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-06
ABBEYBDS [BLS],0.95,--,--,0.95,,2,250,2021-10-08
ABBEYBDS [BLS],0.95,--,--,0.95,,1,500,2021-10-11
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-12
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-13
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-14
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-18
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-20
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-21
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-22
ABBEYBDS [BLS],0.95,0.86,0.86,0.86,-0.09,3,"1,046,856",2021-10-25
ABBEYBDS [BLS],0.86,0.94,0.94,0.94,0.08,2,"4,898,650",2021-10-26
ABBEYBDS [BLS],0.94,--,--,0.94,,2,"1,200",2021-10-27
ABBEYBDS [BLS],0.94,0.95,0.95,0.95,0.01,3,"171,632",2021-10-28
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-10-29
ABBEYBDS [BLS],0.95,--,--,0.95,,1,"1,000",2021-11-01
ABBEYBDS [BLS],0.95,--,--,0.95,,2,"5,812",2021-11-02
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-11-03
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-11-04
ABBEYBDS [BLS],0.95,--,--,0.95,,3,"40,023",2021-11-05
ABBEYBDS [BLS],0.95,--,--,0.95,,3,"5,270",2021-11-08
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-11-09
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-11-10
ABBEYBDS [BLS],0.95,--,--,0.95,,2,"6,002",2021-11-11
ABBEYBDS [BLS],0.95,--,--,0.95,,3,"1,703",2021-11-12
ABBEYBDS [BLS],0.95,--,--,0.95,,0,--,2021-11-15
ABBEYBDS [BLS],0.95,--,--,0.95,,1,105,2021-11-16
ABCTRANS,0.33,--,--,0.33,,2,"14,805",2021-09-30
ABCTRANS,0.33,--,--,0.33,,8,"28,942",2021-10-04
ABCTRANS,0.35,0.35,0.32,0.33,-0.02,16,"2,625,119",2021-10-06
ABCTRANS,0.34,--,--,0.34,,5,"56,700",2021-10-08
ABCTRANS,0.34,--,--,0.34,,6,"31,704",2021-10-11
ABCTRANS,0.34,--,--,0.34,,4,"14,991",2021-10-12
ABCTRANS,0.34,0.32,0.32,0.32,-0.02,11,"243,981",2021-10-13
ABCTRANS,0.32,--,--,0.32,,5,"145,028",2021-10-14
ABCTRANS,0.32,--,--,0.32,,5,"92,525",2021-10-18
ABCTRANS,0.32,0.31,0.31,0.31,-0.01,6,"338,985",2021-10-20
ABCTRANS,0.31,0.31,0.31,0.31,0.0,5,"225,724",2021-10-21
ABCTRANS,0.31,0.34,0.31,0.34,0.03,6,"589,208",2021-10-22
ABCTRANS,0.34,0.34,0.34,0.34,0.0,5,"230,750",2021-10-25
ABCTRANS,0.34,0.31,0.31,0.31,-0.03,8,"721,510",2021-10-26
ABCTRANS,0.31,0.31,0.31,0.31,0.0,4,"292,000",2021-10-27
ABCTRANS,0.31,--,--,0.31,,2,"8,109",2021-10-28
ABCTRANS,0.31,--,--,0.31,,1,550,2021-10-29
ABCTRANS,0.31,0.31,0.31,0.31,0.0,8,"587,285",2021-11-01
ABCTRANS,0.31,0.31,0.31,0.31,0.0,6,"135,968",2021-11-02
ABCTRANS,0.31,--,--,0.31,,3,"89,411",2021-11-03
ABCTRANS,0.31,0.31,0.31,0.31,0.0,11,"988,720",2021-11-04
ABCTRANS,0.31,0.30,0.29,0.3,-0.01,8,"370,105",2021-11-05
ABCTRANS,0.3,0.30,0.30,0.3,0.0,9,"330,097",2021-11-08
ABCTRANS,0.3,0.33,0.33,0.33,0.03,8,"178,063",2021-11-09
ABCTRANS,0.33,0.30,0.30,0.3,-0.03,8,"199,585",2021-11-10
ABCTRANS,0.3,--,--,0.3,,10,"116,838",2021-11-11
ABCTRANS,0.3,--,--,0.3,,3,"13,100",2021-11-12
ABCTRANS,0.3,--,--,0.3,,6,"54,145",2021-11-15
ABCTRANS,0.3,--,--,0.30,,7,"48,444",2021-11-16
ACADEMY,0.39,--,--,0.39,,2,"3,540",2021-09-30
ACADEMY,0.39,--,--,0.39,,2,"15,890",2021-10-04
ACADEMY,0.39,--,--,0.39,,6,"19,340",2021-10-06
ACADEMY,0.39,0.36,0.36,0.36,-0.03,3,"136,040",2021-10-08
ACADEMY,0.36,--,--,0.36,,0,--,2021-10-11
ACADEMY,0.36,--,--,0.36,,0,--,2021-10-12
ACADEMY,0.36,--,--,0.36,,0,--,2021-10-13
ACADEMY,0.36,--,--,0.36,,3,"7,011",2021-10-14
ACADEMY,0.36,--,--,0.36,,0,--,2021-10-18
ACADEMY,0.36,0.33,0.33,0.33,-0.03,2,"120,145",2021-10-20
ACADEMY,0.33,--,--,0.33,,0,--,2021-10-21
ACADEMY,0.33,--,--,0.33,,8,"71,293",2021-10-22
ACADEMY,0.33,--,--,0.33,,1,"1,000",2021-10-25
ACADEMY,0.33,--,--,0.33,,3,"7,992",2021-10-26
ACADEMY,0.33,--,--,0.33,,1,742,2021-10-27
ACADEMY,0.33,--,--,0.33,,0,--,2021-10-28
ACADEMY,0.33,--,--,0.33,,3,"9,393",2021-10-29
ACADEMY,0.33,--,--,0.33,,1,"2,240",2021-11-01
ACADEMY,0.33,--,--,0.33,,1,"3,500",2021-11-02
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-03
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-04
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-05
ACADEMY,0.33,--,--,0.33,,1,"3,040",2021-11-08
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-09
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-10
ACADEMY,0.33,--,--,0.33,,1,"6,000",2021-11-11
ACADEMY,0.33,--,--,0.33,,0,--,2021-11-12
ACADEMY,0.33,--,--,0.33,,2,580,2021-11-15
ACADEMY,0.33,--,--,0.33,,2,"4,224",2021-11-16
ACCESS,9.15,9.20,9.15,9.15,0.0,226,"10,462,302",2021-09-30
ACCESS,9.15,9.25,9.15,9.15,0.0,221,"8,241,554",2021-10-04
ACCESS,9.4,9.65,9.30,9.3,-0.1,316,"15,517,237",2021-10-06
ACCESS,9.4,9.40,9.30,9.4,0.0,150,"6,350,101",2021-10-08
ACCESS,9.4,9.45,9.30,9.45,0.05,185,"7,840,084",2021-10-11
ACCESS,9.45,9.70,9.50,9.6,0.15,165,"6,722,535",2021-10-12
ACCESS,9.6,9.95,9.75,9.8,0.2,282,"12,474,386",2021-10-13
ACCESS,9.8,9.90,9.60,9.6,-0.2,222,"10,605,633",2021-10-14
ACCESS,9.6,9.90,9.50,9.6,0.0,298,"36,619,323",2021-10-18
ACCESS,9.6,9.60,9.50,9.5,-0.1,288,"27,854,834",2021-10-20
ACCESS,9.5,9.60,9.50,9.5,0.0,171,"13,034,388",2021-10-21
ACCESS,9.6,9.65,9.35,9.5,0.0,211,"22,681,998",2021-10-22
ACCESS,9.5,9.50,9.40,9.45,-0.05,195,"15,615,604",2021-10-25
ACCESS,9.45,9.50,9.35,9.45,0.0,211,"13,027,411",2021-10-26
ACCESS,9.45,9.50,9.40,9.5,0.05,221,"12,625,366",2021-10-27
ACCESS,9.5,9.55,9.40,9.45,-0.05,212,"28,970,883",2021-10-28
ACCESS,9.45,9.50,9.40,9.5,0.05,178,"12,636,633",2021-10-29
ACCESS,9.5,9.45,9.35,9.45,-0.05,304,"12,679,963",2021-11-01
ACCESS,9.45,9.40,9.30,9.3,-0.15,183,"6,944,417",2021-11-02
ACCESS,9.3,9.35,9.20,9.3,0.0,244,"11,754,965",2021-11-03
ACCESS,9.3,9.30,9.20,9.25,-0.05,142,"4,247,749",2021-11-04
ACCESS,9.25,9.50,9.30,9.5,0.25,174,"21,517,488",2021-11-05
ACCESS,9.5,9.55,9.45,9.45,-0.05,203,"7,508,768",2021-11-08
ACCESS,9.45,9.50,9.40,9.5,0.05,185,"15,272,567",2021-11-09
ACCESS,9.5,9.45,9.35,9.4,-0.1,121,"12,791,777",2021-11-10
ACCESS,9.4,9.40,9.35,9.35,-0.05,122,"9,289,303",2021-11-11
ACCESS,9.35,9.40,9.15,9.35,0.0,195,"8,900,626",2021-11-12
ACCESS,9.35,9.45,9.35,9.4,0.05,344,"44,173,803",2021-11-15
ACCESS,9.4,9.40,9.35,9.35,-0.05,163,"8,850,486",2021-11-16
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-06
AFRINSURE,0.2,--,--,0.2,,3,"5,600",2021-10-08
AFRINSURE,0.2,--,--,0.2,,5,"2,504",2021-10-11
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-12
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-13
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-14
AFRINSURE,0.2,0.20,0.20,0.2,0.0,5,"4,847,999",2021-10-18
AFRINSURE,0.2,0.20,0.20,0.2,0.0,2,"600,000",2021-10-20
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-21
AFRINSURE,0.2,--,--,0.2,,1,200,2021-10-22
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-25
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-26
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-27
AFRINSURE,0.2,--,--,0.2,,0,--,2021-10-28
AFRINSURE,0.2,--,--,0.2,,2,"78,887",2021-10-29
AFRINSURE,0.2,0.20,0.20,0.2,0.0,5,"119,510",2021-11-01
AFRINSURE,0.2,--,--,0.2,,3,"5,101",2021-11-02
AFRINSURE,0.2,0.20,0.20,0.2,0.0,3,"1,510,000",2021-11-03
AFRINSURE,0.2,--,--,0.2,,0,--,2021-11-04
AFRINSURE,0.2,--,--,0.2,,2,"50,001",2021-11-05
AFRINSURE,0.2,--,--,0.2,,0,--,2021-11-08
AFRINSURE,0.2,0.20,0.20,0.2,0.0,2,"1,000,001",2021-11-09
AFRINSURE,0.2,--,--,0.2,,1,"1,000",2021-11-10
AFRINSURE,0.2,--,--,0.2,,1,"3,000",2021-11-11
AFRINSURE,0.2,--,--,0.2,,0,--,2021-11-12
AFRINSURE,0.2,--,--,0.2,,1,"1,000",2021-11-15
AFRINSURE,0.2,--,--,0.20,,1,"1,000",2021-11-16
AFRINSURE [MRF],0.2,--,--,0.2,,0,--,2021-09-30
AFRINSURE [MRF],0.2,--,--,0.2,,0,--,2021-10-04
AFRIPRUD,6.15,--,--,6.15,,40,"483,096",2021-09-30
AFRIPRUD,6.15,--,--,6.15,,49,"307,486",2021-10-04
AFRIPRUD,6.4,6.60,6.45,6.6,0.2,65,"1,052,773",2021-10-06
AFRIPRUD,6.6,6.60,6.20,6.2,-0.4,52,"985,728",2021-10-08
AFRIPRUD,6.2,6.25,6.25,6.25,0.05,29,"347,425",2021-10-11
AFRIPRUD,6.25,6.50,6.50,6.5,0.25,49,"555,552",2021-10-12
AFRIPRUD,6.5,6.40,6.40,6.4,-0.1,61,"882,061",2021-10-13
AFRIPRUD,6.4,6.90,6.60,6.9,0.5,78,"3,041,596",2021-10-14
AFRIPRUD,6.65,6.95,6.95,6.95,0.3,53,"1,205,805",2021-10-18
AFRIPRUD,6.95,--,--,6.95,,87,"678,062",2021-10-20
AFRIPRUD,6.95,6.90,6.60,6.85,-0.1,54,"1,037,207",2021-10-21
AFRIPRUD,6.85,6.80,6.75,6.8,-0.05,54,"742,218",2021-10-22
AFRIPRUD,6.8,6.60,6.40,6.4,-0.4,98,"4,226,949",2021-10-25
AFRIPRUD,6.4,6.40,6.35,6.35,-0.05,82,"1,119,666",2021-10-26
AFRIPRUD,6.35,6.30,6.10,6.1,-0.25,78,"2,283,037",2021-10-27
AFRIPRUD,6.1,6.35,6.10,6.35,0.25,81,"1,421,043",2021-10-28
AFRIPRUD,6.35,6.35,6.35,6.35,0.0,50,"535,421",2021-10-29
AFRIPRUD,6.35,--,--,6.35,,46,"219,847",2021-11-01
AFRIPRUD,6.35,--,--,6.35,,35,"286,848",2021-11-02
AFRIPRUD,6.35,--,--,6.35,,44,"505,347",2021-11-03
AFRIPRUD,6.35,--,--,6.35,,33,"353,877",2021-11-04
AFRIPRUD,6.35,--,--,6.35,,23,"164,121",2021-11-05
AFRIPRUD,6.35,6.30,6.00,6.05,-0.3,132,"10,036,208",2021-11-08
AFRIPRUD,6.05,6.35,6.15,6.35,0.3,55,"1,512,945",2021-11-09
AFRIPRUD,6.35,6.30,6.30,6.3,-0.05,35,"948,422",2021-11-10
AFRIPRUD,6.3,6.35,6.35,6.35,0.05,39,"960,365",2021-11-11
AFRIPRUD,6.35,--,--,6.35,,40,"242,954",2021-11-12
AFRIPRUD,6.35,6.50,6.40,6.5,0.15,60,"1,692,821",2021-11-15
AFRIPRUD,6.5,--,--,6.50,,58,"416,838",2021-11-16
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-09-30
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-04
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-06
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-08
AFROMEDIA,0.2,--,--,0.2,,1,"2,500",2021-10-11
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-12
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-13
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-14
AFROMEDIA,0.2,--,--,0.2,,2,200,2021-10-18
AFROMEDIA,0.2,--,--,0.2,,1,100,2021-10-20
AFROMEDIA,0.2,--,--,0.2,,1,100,2021-10-21
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-22
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-25
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-26
AFROMEDIA,0.2,--,--,0.2,,1,100,2021-10-27
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-10-28
AFROMEDIA,0.2,--,--,0.2,,1,100,2021-10-29
AFROMEDIA,0.2,0.20,0.20,0.2,0.0,1,"100,000",2021-11-01
AFROMEDIA,0.2,--,--,0.2,,2,"4,000",2021-11-02
AFROMEDIA,0.2,--,--,0.2,,2,200,2021-11-03
AFROMEDIA,0.2,--,--,0.2,,1,100,2021-11-04
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-11-05
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-11-08
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-11-09
AFROMEDIA,0.2,--,--,0.2,,0,--,2021-11-10
