company,open,High,Low,close,change,Trades,Volume,Date
GLAXOSMITH,6.15,--,--,--,,2,"23,000",14 Sep 21
GLAXOSMITH,6.1,--,--,6.10,,10,"12,809",30 Sep 21
GLAXOSMITH,6.1,6.00,6.00,6.00,-0.1,18,"435,481",04 Oct 21
GLAXOSMITH,6,--,--,6.00,,25,"139,740",06 Oct 21
GLAXOSMITH,6,--,--,6.00,,14,"271,317",08 Oct 21
GLAXOSMITH,6,--,--,6.00,,16,"40,391",11 Oct 21
GLAXOSMITH,6,--,--,6.00,,15,"46,258",12 Oct 21
GLAXOSMITH,6,--,--,6.00,,18,"143,298",13 Oct 21
GLAXOSMITH,6,6.10,6.10,6.10,0.1,24,"394,683",14 Oct 21
GLAXOSMITH,6.5,6.55,6.50,6.55,0.05,43,"801,692",18 Oct 21
GLAXOSMITH,6.55,7.00,7.00,7.00,0.45,29,"412,663",20 Oct 21
GLAXOSMITH,7,--,--,7.00,,30,"214,770",21 Oct 21
GLAXOSMITH,7,--,--,7.00,,20,"105,071",22 Oct 21
GLAXOSMITH,7,--,--,7.00,,20,"121,956",25 Oct 21
GLAXOSMITH,7,--,--,7.00,,33,"364,217",26 Oct 21
GLAXOSMITH,7,6.30,6.30,6.30,-0.7,28,"300,361",27 Oct 21
GLAXOSMITH,6.3,--,--,6.30,,35,"241,705",28 Oct 21
GLAXOSMITH,6.3,6.90,6.10,6.10,-0.2,40,"1,479,016",29 Oct 21
GLAXOSMITH,6.1,6.50,6.50,6.50,0.4,44,"1,014,444",01 Nov 21
GLAXOSMITH,6.5,--,--,6.50,,30,"155,339",02 Nov 21
GLAXOSMITH,6.5,--,--,6.50,,17,"112,094",03 Nov 21
GLAXOSMITH,6.5,--,--,6.50,,12,"101,969",04 Nov 21
GLAXOSMITH,6.5,6.40,6.40,6.40,-0.1,23,"285,319",05 Nov 21
GLAXOSMITH,6.4,--,--,6.40,,18,"15,926",08 Nov 21
GLAXOSMITH,6.4,--,--,6.40,,12,"80,765",09 Nov 21
GLAXOSMITH,6.4,--,--,6.40,,8,"19,265",10 Nov 21
GLAXOSMITH,6.4,--,--,6.40,,16,"121,535",11 Nov 21
GLAXOSMITH,6.4,6.00,6.00,6.00,-0.4,19,"303,605",12 Nov 21
GLAXOSMITH,6,--,--,6.00,,17,"173,796",15 Nov 21
GLAXOSMITH,6,--,--,6.00,,22,"155,666",16 Nov 21
