company,open,High,Low,close,change,Trades,Volume,Date
MTNN,160,169.9,160,169.9,9.9,83,"25,438,081",2021-01-01
MTNN,169.9,-,-,169.9,,111,"86,319",2021-01-04
MTNN,169.9,175,160,165.2,-4.7,212,"3,527,526",2021-01-05
MTNN,165.2,-,-,165.2,,77,"66,439",2021-01-06
MTNN,165.2,-,-,165.2,,106,"110,942",2021-01-07
MTNN,165.2,-,-,165.2,,76,"133,843",2021-01-08
MTNN,165.2,-,-,165.2,,123,"164,959",2021-01-11
MTNN,165.2,165,164.9,165,-0.2,122,"4,112,708",2021-01-12
MTNN,165,170,165,165,0,174,"13,410,602",2021-01-13
MTNN,165,168,168,168,3,93,"354,710",2021-01-14
MTNN,168,170,168,170,2,97,"2,046,163",2021-01-15
MTNN,170,-,-,170,,159,"470,597",2021-01-18
MTNN,170,-,-,170,,96,"639,650",2021-01-19
MTNN,170,170.2,170.2,170.2,0.2,126,"864,244",2021-01-20
MTNN,170.2,170,170,170,-0.2,103,"3,125,260",2021-01-21
MTNN,170,170.1,170,170,0,118,"6,148,743",2021-01-22
MTNN,170,-,-,170,,120,"242,513",2021-01-25
MTNN,170,170.9,170.9,170.9,0.9,105,"1,454,312",2021-01-26
MTNN,170.9,175,175,175,4.1,130,"2,736,248",2021-01-27
MTNN,175,-,-,175,,151,"803,146",2021-01-28
MTNN,175,181,180.1,181,6,151,"5,250,358",2021-01-29
MTNN,181,-,-,181,,235,"1,335,248",2021-02-01

MTNN,181,-,-,181,,153,"627,726",2021-02-02
MTNN,181,-,-,181,,137,"501,881",2021-02-03
MTNN,181,-,-,181,,116,"311,228",2021-02-04
MTNN,181,183,180,180,-1,193,"4,738,004",2021-02-05
MTNN,180,-,-,180,,132,"649,501",2021-02-08
MTNN,180,180,180,180,0,166,"2,893,967",2021-02-09
MTNN,180,180,179,180,0,187,"4,701,182",2021-02-10
MTNN,180,182.9,180,182.9,2.9,177,"8,690,789",2021-02-11
MTNN,182.9,182,182,182,-0.9,95,"2,439,259",2021-02-12
MTNN,182,180,180,180,-2,113,"1,943,418",2021-02-15
MTNN,180,181.7,180,180,0,115,"2,627,304",2021-02-16
MTNN,180,181.9,181,181.7,1.7,158,"3,073,565",2021-02-17
MTNN,181.7,180,180,180,-1.7,99,"779,774",2021-02-18
MTNN,180,-,-,180,,73,"122,994",2021-02-19
MTNN,180,180,180,180,0,105,"2,582,008",2021-02-22
MTNN,180,179.9,179.9,179.9,-0.1,78,"278,733",2021-02-24
MTNN,179.9,-,-,179.9,,116,"1,376,250",2021-02-25
MTNN,179.9,174,174,174,-5.9,66,"780,940",2021-02-26
MTNN,174,-,-,174,,205,"901,931",2021-03-01
MTNN,174,-,-,174,,105,"503,064",2021-03-02
MTNN,174,170,170,170,-4,185,"1,524,555",2021-03-03
MTNN,170,-,-,170,,126,"599,055",2021-03-04
MTNN,170,-,-,170,,119,"643,201",2021-03-05
MTNN,170,160,160,160,-10,99,"15,181,250",2021-03-09
MTNN,160,-,-,160,,108,"332,708",2021-03-10
MTNN,160,160,159.9,160,0,71,"628,223",2021-03-11
MTNN,160,158,158,158,-2,88,"861,711",2021-03-12
MTNN,158,-,-,158,,79,"85,034",2021-03-15
MTNN,158,159.9,159.9,159.9,1.9,95,"677,552",2021-03-16
MTNN,159.9,-,-,159.9,,104,"74,077",2021-03-17
MTNN,159.9,-,-,159.9,,128,"700,642",2021-03-18
MTNN,159.9,160,157,157,-2.9,103,"1,479,058",2021-03-19
MTNN,157,-,-,157,,89,"62,006",2021-03-22
MTNN,157,157.2,157.2,157.2,0.2,57,"2,749,869",2021-03-23
MTNN,157.2,161,158.5,161,3.8,121,"6,713,553",2021-03-24
MTNN,161,163,160,163,2,157,"10,072,281",2021-03-25
MTNN,163,160,160,160,-3,105,"1,120,644",2021-03-26
MTNN,160,165,165,165,5,89,"2,761,218",2021-03-29
MTNN,165,-,-,165,,101,"340,394",2021-03-30
MTNN,165,160.2,160.2,160.2,-4.8,68,"161,394",2021-03-31
MTNN,160.2,-,-,160.2,,60,"225,940",2021-04-01
MTNN,160.2,-,-,160.2,,60,"225,940",2021-04-02
MTNN,160.2,-,-,160.2,,60,"225,940",2021-04-05
MTNN,160.2,-,-,160.2,,69,"270,031",2021-04-06
MTNN,160.2,162,160.2,162,1.8,150,"2,353,979",2021-04-07
MTNN,162,-,-,162,,60,"103,403",2021-04-08
MTNN,162,163.9,160,163.9,1.9,78,"1,256,001",2021-04-09
MTNN,172.5,--,--,--,,26,"344,551",14 Sep 21
MTNN,172.5,--,--,--,,26,"344,551",14 Sep 21
