company,open,High,Low,close,change,Trades,Volume,Date
NESTLE,1400,--,--,--,,3,21,14 Sep 21
NESTLE,1489,1480.00,1403.80,1480.00,-9,102,"394,931",30 Sep 21
NESTLE,1480,--,--,1480.00,,34,"48,902",04 Oct 21
NESTLE,1480,--,--,1480.00,,36,"69,695",06 Oct 21
NESTLE,1480,--,--,1480.00,,28,"50,950",08 Oct 21
NESTLE,1480,--,--,1480.00,,39,"180,742",11 Oct 21
NESTLE,1480,--,--,1480.00,,32,"10,115",12 Oct 21
NESTLE,1480,--,--,1480.00,,24,"26,529",13 Oct 21
NESTLE,1480,--,--,1480.00,,15,"9,334",14 Oct 21
NESTLE,1480,1405.00,1405.00,1405.00,-75,47,"231,823",18 Oct 21
NESTLE,1405,1405.00,1405.00,1405.00,0,67,"385,578",20 Oct 21
NESTLE,1405,--,--,1405.00,,45,"103,566",21 Oct 21
NESTLE,1405,--,--,1405.00,,33,"202,600",22 Oct 21
NESTLE,1405,--,--,1405.00,,51,"189,490",25 Oct 21
NESTLE,1405,--,--,1405.00,,45,"358,720",26 Oct 21
NESTLE,1405,1400.00,1400.00,1400.00,-5,51,"276,647",27 Oct 21
NESTLE,1400,--,--,1400.00,,31,"37,739",28 Oct 21
NESTLE,1400,--,--,1400.00,,33,"11,118",29 Oct 21
NESTLE,1400,--,--,1400.00,,69,"90,235",01 Nov 21
NESTLE,1400,--,--,1400.00,,41,"45,863",02 Nov 21
NESTLE,1400,--,--,1400.00,,32,"39,295",03 Nov 21
NESTLE,1400,--,--,1400.00,,25,"30,020",04 Nov 21
NESTLE,1400,--,--,1400.00,,39,"8,673",05 Nov 21
NESTLE,1400,--,--,1400.00,,34,"37,393",08 Nov 21
NESTLE,1400,--,--,1400.00,,26,"6,220",09 Nov 21
NESTLE,1400,1400.00,1400.00,1400.00,0,55,"324,824",10 Nov 21
NESTLE,1400,--,--,1400.00,,42,"92,552",11 Nov 21
NESTLE,1400,--,--,1400.00,,42,"64,656",12 Nov 21
NESTLE,1400,--,--,1400.00,,38,"223,770",15 Nov 21
NESTLE,1400,1410.00,1390.00,1390.00,-10,55,"4,053,230",16 Nov 21
